"date","individual","foreign","institution","fin_invest","insurance","trust","bank","other_fin","pension","other_corp"
"2025-06-11","-3663","1661","2304","3843","-117","-1166","-162","182","-276","-302"
"2025-06-12","-1794","4073","-2304","-4216","-340","1015","-13","10","1240","25"
"2025-06-13","4674","1210","-6461","-3409","-413","-2544","-41","-346","293","577"
"2025-06-16","463","-3224","2524","3466","-191","-384","33","-116","-284","237"
"2025-06-17","2245","-953","-1006","2278","-595","-1309","-119","-151","-1110","-286"
"2025-06-18","-4318","2870","1101","1741","-206","195","-63","-90","-475","347"
"2025-06-19","3500","-826","-3018","-920","-573","-109","-50","-10","-1356","344"
"2025-06-20","-5966","5626","372","908","-581","-90","63","-41","113","-32"
"2025-06-23","13797","-3668","-9485","-8569","-160","-426","3","-165","-168","-645"
"2025-06-24","-5676","4383","2594","4792","-1486","386","23","-138","-984","-1301"
"2025-06-25","7580","-1108","-5883","-2128","-190","-2999","2","-48","-520","-589"
"2025-06-26","8325","-5794","-4080","-1552","23","-2122","-23","60","-467","1549"
"2025-06-27","4868","-8580","3434","2666","122","775","-23","21","-128","278"
"2025-06-30","1892","-6489","4757","5221","-47","-9","8","-114","-301","-160"
"2025-07-01","-6405","1760","4745","5206","-73","540","11","-250","-688","-100"
"2025-07-02","2329","-3278","720","3103","-46","-2387","-8","77","-19","229"
"2025-07-03","-12330","6427","5484","3264","14","2260","-13","27","-67","419"
"2025-07-04","2575","1624","-3822","-1597","-270","-1704","-70","612","-795","-376"
"2025-07-07","1558","-937","-811","-939","179","557","-14","-1","-593","189"
"2025-07-08","-2549","2461","-326","51","-79","370","51","-693","-26","414"
"2025-07-09","4310","-4105","-571","-1397","16","760","65","-45","31","366"
"2025-07-10","-5869","4694","447","-1318","-246","1612","46","-96","450","728"
"2025-07-11","1250","3259","-743","624","-441","-894","61","-139","46","-3766"
"2025-07-14","-3568","3707","-947","410","-295","-764","-61","-31","-205","808"
"2025-07-15","-3102","2123","-167","-464","-107","309","2","-197","289","1146"
"2025-07-16","4016","555","-5525","-1782","-84","-2956","11","34","-748","954"
"2025-07-17","-3356","493","1583","2454","118","-844","-5","-5","-136","1279"
"2025-07-18","-3411","1878","320","2138","49","-961","-58","95","-942","1212"
"2025-07-21","-10578","8935","994","669","-140","551","-7","15","-93","649"
"2025-07-22","4780","-1288","-4128","140","-130","-3328","-82","33","-760","635"
"2025-07-23","-6982","4228","1917","3795","250","-1106","-39","50","-1034","836"
"2025-07-24","-9513","7386","1273","609","-54","1147","-94","-178","-157","853"
"2025-07-25","-4616","2706","1100","40","217","465","-32","-54","464","810"
"2025-07-28","-9975","4753","4520","5223","-74","27","44","-32","-668","702"
"2025-07-29","-8259","6054","1167","1362","89","-268","52","52","-119","1038"
"2025-07-30","-9844","5783","3307","3196","-302","604","15","-49","-157","754"
"2025-07-31","2235","3450","-7053","-3677","-158","-1834","74","-31","-1427","1368"
"2025-08-01","16283","-6524","-10720","-4616","-19","-5364","-405","-120","-196","961"
"2025-08-04","-2996","830","1316","1178","-218","538","-326","41","104","850"
"2025-08-05","-4785","2919","947","-446","108","1032","37","27","189","919"
"2025-08-06","474","2804","-4020","483","-66","-4113","12","-298","-39","743"
"2025-08-07","-2048","-171","1092","1164","5","-377","5","-115","410","1127"
"2025-08-08","1835","-1576","-1318","1959","-180","-2184","-30","-82","-802","1059"
"2025-08-11","-1407","2169","-2160","417","-378","-1271","-6","-16","-907","1399"
"2025-08-12","634","-604","-981","35","-216","-1088","3","71","214","950"
"2025-08-13","-6648","6349","-809","465","-76","-1024","-46","42","-171","1108"
"2025-08-14","-534","-779","197","1518","-18","-549","-31","64","-788","1116"
"2025-08-18","3570","-4881","813","1391","-224","-748","25","21","348","499"
"2025-08-19","904","-4544","2539","3128","-160","-185","-34","11","-222","1101"
"2025-08-20","-3929","-2185","5024","6199","24","-471","-34","27","-720","1090"
"2025-08-21","-2591","-152","1598","-644","151","1782","-16","73","252","1145"
"2025-08-22","-4572","1826","1556","336","-76","1288","3","-105","110","1190"
"2025-08-25","-3857","1224","1543","675","-159","756","-13","5","280","1089"
"2025-08-26","8519","-6836","-2657","-2004","-84","-357","-71","20","-161","974"
"2025-08-27","569","-2023","277","-872","18","907","34","19","171","1177"
"2025-08-28","-3939","-241","3264","1372","-52","1253","-74","17","748","916"
"2025-08-29","2353","-3724","648","1563","-131","-449","-59","-6","-270","723"
"2025-09-01","3469","-2720","-1940","-264","-174","-1648","11","-12","146","1191"
"2025-09-02","-3474","4010","-1416","-1480","-106","37","-47","5","174","880"
"2025-09-03","-1563","4359","-3756","-2616","-86","-445","-6","46","-649","960"
"2025-09-04","-2847","2025","-232","45","-329","161","59","44","-212","1055"
"2025-09-05","-552","-1374","1124","1646","-217","-224","36","20","-138","802"
"2025-09-08","-3848","2301","778","1129","-77","-187","4","39","-130","769"
"2025-09-09","-10371","6808","2806","2064","-372","889","-82","36","270","756"
"2025-09-10","-22634","13817","9046","9077","-790","556","-135","-35","373","-230"
"2025-09-11","-11493","3000","8225","10761","-390","-549","-61","-48","-1489","267"
"2025-09-12","-20287","14355","6119","7117","-855","-1667","-314","-25","1863","-186"
"2025-09-15","-1374","2667","-1376","603","-1288","72","-175","-23","-567","83"
"2025-09-16","-17637","17927","1083","2293","-351","-913","-26","-58","138","-1373"
"2025-09-17","2522","-347","-3075","-1815","-514","-1200","-42","61","435","901"
"2025-09-18","-7816","2851","4294","3129","-101","783","5","10","467","671"
"2025-09-19","5332","-3080","-3357","-895","-357","-1458","-17","-31","-600","1105"
"2025-09-22","-7682","5653","2672","4196","-1064","-301","-59","36","-137","-642"
"2025-09-23","-2462","3414","-1363","-337","-278","-347","-132","25","-295","412"
"2025-09-24","17","-2486","2124","3872","-270","-421","-125","26","-958","345"
"2025-09-25","-5411","2196","2707","2121","-414","1946","-38","54","-962","508"
"2025-09-26","10997","-5707","-4892","-2724","-89","-1288","-125","22","-687","-398"
"2025-09-29","-7480","4472","3014","1129","-219","1998","-29","8","126","-6"
"2025-09-30","-265","230","-497","-2092","145","1492","1","-26","-17","532"
"2025-10-01","-10812","8455","2208","1495","-170","1244","-21","9","-349","150"
"2025-10-02","-30715","31265","-675","-66","-1160","95","-85","92","450","125"
"2025-10-10","-5022","10592","-5936","-4920","-1534","-448","110","22","834","367"
"2025-10-13","11649","-8220","-4471","-3806","-561","-379","49","-26","252","1042"
"2025-10-14","20","5581","-6299","-4217","-523","-1179","-22","-8","-351","698"
"2025-10-15","-9706","1631","7512","5158","-188","1840","-108","-11","822","563"
"2025-10-16","-13936","6533","7813","6761","-954","1254","-173","-56","982","-410"
"2025-10-17","-3122","4438","-1688","-238","-775","-468","0","-128","-80","373"
"2025-10-20","-4109","-2500","6428","8704","-505","-1458","-297","-48","32","181"
"2025-10-21","-1556","-124","2116","4970","-1301","-1630","-181","-238","496","-436"
"2025-10-22","-769","-7033","7633","5399","-84","2090","-111","21","317","170"
"2025-10-23","7505","-4071","-3972","-1800","-335","-594","-192","-44","-1007","538"
"2025-10-24","-20005","5756","14054","10826","-396","3040","-20","-125","730","195"
"2025-10-27","-7969","6471","2343","6913","-1568","-1896","-248","29","-886","-845"
"2025-10-28","15728","-16379","925","3112","-407","-1064","-54","4","-666","-274"
"2025-10-29","-3583","-1066","5196","10680","-836","-1458","-32","-35","-3123","-547"
"2025-10-30","9363","-1173","-8379","-1930","-1224","-3379","-82","-30","-1734","189"
"2025-10-31","-2018","13212","-11064","11660","-649","-478","-20012","-18","-1567","-131"
"2025-11-03","6256","-7949","1841","4277","-1104","-701","-243","-57","-332","-147"
"2025-11-04","27009","-22282","-4989","-514","-420","-2683","-119","-57","-1195","262"
"2025-11-05","25538","-20695","-1877","874","-176","-2115","-9","-1033","583","-2966"
"2025-11-06","8840","-16950","8301","5879","-20","2840","45","-75","-368","-191"
"2025-11-07","6791","-4550","-2446","1640","-214","-3228","-58","102","-688","206"
"2025-11-10","-11607","-1510","13066","9222","-69","3157","65","42","648","52"
"2025-11-11","-2830","770","2247","3670","-547","133","-99","-12","-899","-187"
"2025-11-12","-4423","-4265","9093","8687","132","677","15","35","-452","-405"
"2025-11-13","-2343","9989","-7179","-7435","9","-62","-20","55","275","-468"
"2025-11-14","32346","-23575","-9005","-6552","59","-2452","-55","61","-67","234"
"2025-11-17","-5000","5189","-245","60","-76","338","22","-121","-467","56"
"2025-11-18","12382","-5500","-6788","-4287","31","-1946","-63","70","-594","-94"
"2025-11-19","4450","-10495","6256","4611","-90","1611","1","64","59","-211"
"2025-11-20","-13817","7406","7566","7476","-34","294","54","90","-314","-1155"
"2025-11-21","22695","-28229","4935","4115","159","-168","-3","-19","851","599"
"2025-11-24","-4619","-7993","12719","11095","-137","1913","0","75","-228","-107"
"2025-11-25","-276","49","315","197","102","559","-17","87","-611","-89"
"2025-11-26","-18048","5158","12280","10376","-34","1625","-121","72","362","611"
"2025-11-27","-6152","1546","4326","3261","-75","1107","-34","72","-6","281"
"2025-11-28","15685","-20369","4587","8392","-384","-2106","-7","60","-1367","97"
"2025-12-01","528","2235","-2333","-689","-99","-498","-102","18","-962","-431"
"2025-12-02","-15763","12147","3929","2475","-22","925","-168","11","708","-313"
"2025-12-03","-8984","2816","7364","4873","144","1948","-7","-220","627","-1196"
"2025-12-04","5585","-6960","1318","1071","-42","-170","-81","18","522","56"
"2025-12-05","-21156","9934","11528","8490","61","2818","53","48","58","-305"
"2025-12-08","-3449","3211","-308","-1408","-210","1483","-43","24","-153","546"
"2025-12-09","-133","-889","494","-983","-149","714","3","-87","996","528"
"2025-12-10","-889","3739","-3003","-1023","-601","-1502","-35","1","157","153"
"2025-12-11","3922","3656","-7753","-6882","-233","-359","34","-140","-174","174"
"2025-12-12","-14625","414","14184","14387","-118","-998","15","6","892","27"
"2025-12-15","14210","-9569","-4803","-3920","-83","-1950","-11","-5","1166","161"
"2025-12-16","12410","-10305","-2309","1481","-606","-3258","-67","3","137","204"
"2025-12-17","-3374","-322","3353","3794","50","-231","29","-4","-287","343"
"2025-12-18","4130","-3459","-1006","1563","-233","-1473","-5","-11","-846","336"
"2025-12-19","-1412","-7573","8541","9642","-468","84","-4","-300","-412","444"
"2025-12-22","-26714","11017","16055","16221","-231","-131","7","-41","228","-357"
"2025-12-23","-12853","9551","3527","5333","-299","-1127","-20","14","-374","-225"
"2025-12-24","-7171","5225","2039","2523","-82","-725","5","-9","327","-93"
"2025-12-26","-23265","17790","4435","5293","-243","535","-14","-161","-975","1039"
"2025-12-29","661","3337","-3133","-3636","-557","704","-7","-16","379","-865"
"2025-12-30","8448","-4768","-3763","-2290","-76","-330","23","-7","-1084","83"
"2026-01-02","-4252","6309","-2477","-1138","-615","-517","73","-84","-196","419"
"2026-01-05","-15141","21726","-7046","-508","-1525","-3486","85","-47","-1564","461"
"2026-01-06","5963","-6184","-664","1697","-243","-1406","66","-54","-724","886"
"2026-01-07","-2944","12548","-9397","-3594","-1453","-3499","64","32","-947","-207"
"2026-01-08","12540","-979","-14014","-8547","-463","-3524","12","19","-1510","2453"
"2026-01-09","1339","-16068","12046","11654","-505","239","127","3","527","2683"
"2026-01-12","-1013","-3512","2101","5682","-1337","-1706","45","-82","-501","2425"
"2026-01-13","-7125","-2793","7881","7769","-821","796","104","12","22","2037"
"2026-01-14","-4377","-3760","5887","6045","-396","25","-2","66","149","2250"
"2026-01-15","-18235","3450","12905","14577","-281","-965","-59","-55","-312","1880"
"2026-01-16","-9383","4350","3083","5114","-789","-282","-10","-49","-901","1949"
"2026-01-19","-7513","5532","-256","2054","-490","-669","32","5","-1188","2237"
"2026-01-20","3524","1232","-6500","-2089","-367","-2235","34","-114","-1729","1744"
"2026-01-21","-9965","4394","3217","2946","-230","1068","-59","55","-564","2355"
"2026-01-22","1555","-2432","-1568","3161","-1922","-790","16","16","-2049","2445"
"2026-01-23","-7239","1438","4790","9290","-189","-1492","-69","-30","-2719","1012"
"2026-01-26","17157","-1588","-15414","-9528","-340","-3569","-75","-172","-1730","-154"
"2026-01-27","-10197","8448","2474","5695","-706","-2047","87","17","-572","-725"
"2026-01-28","12131","4008","-14021","-5710","-1414","-3815","80","-2261","-900","-2118"
"2026-01-29","16173","-14897","-1673","1569","-714","-1166","13","-178","-1197","397"
"2026-01-30","22979","-19729","-4241","-309","-1418","-2185","140","-162","-307","991"
"2026-02-02","45874","-25168","-22125","-21755","522","-709","-6","222","-399","1419"
"2026-02-03","-29423","7038","21708","14513","-139","5880","21","474","958","677"
"2026-02-04","-10119","-9413","17836","14945","-234","2572","177","86","290","1695"
"2026-02-05","67791","-50108","-20693","-18829","332","-1419","209","-2","-985","3010"
"2026-02-06","21736","-33233","9414","5782","239","1899","212","-42","1323","2083"
"2026-02-09","-32947","4320","27123","24244","-428","4265","-95","0","-863","1504"
"2026-02-10","-8780","1474","5643","7442","-249","-618","-50","95","-977","1663"
"2026-02-11","-17149","8461","6927","5223","-332","2188","-2","112","-263","1761"
"2026-02-12","-44547","29954","13800","10816","-815","2718","201","158","722","793"
"2026-02-13","7141","-9220","831","1810","-688","-897","-26","69","563","1248"
"2026-02-19","-8609","-9396","16542","16691","-1452","1100","-27","77","154","1463"
"2026-02-20","-9872","-7420","16149","19351","-739","-972","3","-72","-1422","1143"
"2026-02-23","10815","-11132","-1271","5330","-1600","-2279","-20","-16","-2685","1588"
"2026-02-24","-22861","-2013","23773","26669","-466","-1683","15","-44","-718","1102"
"2026-02-25","2307","-13082","14701","19937","-1314","-4730","-6","65","750","-3926"
"2026-02-26","6498","-21135","12569","16371","-2084","-756","-100","119","-981","2068"
